role,media_id,piece_id,type,order,home,portfolio,shop,video_id,aspect,pos_x,pos_y,width_pct,src_url
cover,Toshka_0,Toshka_0,image,0,TRUE,TRUE,FALSE,,1.842,,,,
detail,Toshka_1,Toshka_0,image,1,FALSE,FALSE,FALSE,,1.488,,,,
detail,Toshka_2,Toshka_0,image,2,FALSE,FALSE,FALSE,,1.373,,,,
detail,Toshka_3,Toshka_0,image,3,FALSE,FALSE,FALSE,,1.537,,,,
detail,Toshka_4,Toshka_0,image,4,FALSE,FALSE,FALSE,,0.71,,,,
detail,Toshka_5,Toshka_0,image,5,FALSE,FALSE,FALSE,,1.287,,,,
detail,Toshka_6,Toshka_0,image,6,FALSE,FALSE,FALSE,,1.367,,,,
detail,Toshka_7,Toshka_0,image,7,FALSE,FALSE,FALSE,,2.177,,,,
detail,Toshka_8,Toshka_0,image,8,FALSE,FALSE,FALSE,,1.349,,,,
cover,VeiledThreads_0,VeiledThreads_0,image,0,TRUE,TRUE,FALSE,,0.746,37.32,31.52,8.88,
detail,VeiledThreads_1,VeiledThreads_0,image,1,FALSE,FALSE,FALSE,,0.667,,,,
detail,VeiledThreads_2,VeiledThreads_0,image,2,FALSE,FALSE,FALSE,,0.669,,,,
detail,VeiledThreads_3,VeiledThreads_0,image,3,FALSE,FALSE,FALSE,,0.665,,,,
cover,crochet_0,crochet_0,image,0,TRUE,FALSE,FALSE,,1.059,,,,
cover,craftforward_1,craftforward_1,image,0,TRUE,FALSE,FALSE,,0.706,,,,
detail,craftforward_0,craftforward_1,image,1,FALSE,FALSE,FALSE,,1.499,,,,
detail,craftforward_2,craftforward_1,image,2,FALSE,FALSE,FALSE,,0.705,,,,
detail,craftforward_3,craftforward_1,image,3,FALSE,FALSE,FALSE,,1.467,,,,
detail,craftforward_4,craftforward_1,image,4,FALSE,FALSE,FALSE,,1.695,,,,
detail,craftforward_5,craftforward_1,image,5,FALSE,FALSE,FALSE,,1.67,,,,
cover,flowervase_0,flowervase_0,image,0,TRUE,FALSE,TRUE,,0.739,,,,
detail,flowervase_1,flowervase_0,image,1,FALSE,FALSE,FALSE,,0.823,,,,
